Registration.Number,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Survival.Rate,Year,Month
N1DC,ATL01FA021,2001-01-14,"Troy, AL",United States,31.866667,-86.016667,Non-Fatal,Destroyed,Airplane,Learjet,LJ-60,2.0,Turbo Jet,Executive/corporate,0.0,2.0,0.0,0.0,VMC,Landing,0.99999950000025,2001,1
N17AE,ATL01FA027,2001-01-24,"Nashville, TN",United States,36.13,-86.653889,Fatal(4),Destroyed,Airplane,Beech,F90-42,2.0,Turbo Prop,Business,4.0,0.0,0.0,0.0,VMC,Takeoff,0.0,2001,1
N6134A,FTW02FA036,2001-11-12,"Graham, TX",United States,33.256667,-98.447222,Fatal(4),Destroyed,Airplane,Piper,PA-31T1,2.0,Turbo Prop,Executive/corporate,4.0,0.0,0.0,0.0,IMC,Approach,0.0,2001,11
N132JH,LAX03LA105,2003-03-03,"TRACY, CA",United States,37.649444,-121.375,Non-Fatal,Substantial,Airplane,Aero Commander,690A,2.0,Turbo Prop,Business,0.0,1.0,0.0,3.0,VMC,Takeoff,0.9999990000010001,2003,3
N705QD,ATL03FA082,2003-04-24,"MOBILE, AL",United States,30.635277,-88.066389,Fatal(1),Substantial,Airplane,Socata,TBM 700B,1.0,Turbo Prop,Executive/corporate,1.0,0.0,0.0,0.0,VMC,Approach,0.0,2003,4
N930TG,ANC03CA088,2003-06-25,"ILIAMNA, AK",United States,59.756389,-154.901667,Non-Fatal,Substantial,Airplane,De Havilland,DHC-2,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0,2003,6
N258SJ,LAX03CA286,2003-09-13,"KNEELAND, CA",United States,40.716667,-123.9275,Non-Fatal,Substantial,Airplane,Beech,58,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Landing,0.0,2003,9
N50MC,FTW04CA084,2004-02-28,"GRAPE CREEK, TX",United States,31.3575,-100.496111,Non-Fatal,Substantial,Airplane,Cessna,T210M,1.0,Reciprocating,Business,0.0,0.0,2.0,1.0,VMC,Cruise,0.99999950000025,2004,2
N9089L,ATL04CA146,2004-07-02,"HILLSBORO, AL",United States,34.633333,-87.2,Non-Fatal,Substantial,Airplane,Air Tractor,AT-402A,1.0,Turbo Prop,Business,0.0,0.0,1.0,0.0,VMC,Maneuvering,0.9999990000010001,2004,7
N3955D,ATL04CA151,2004-07-10,"WALTERBORO, SC",United States,32.75,-80.666667,Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Descent,0.0,2004,7
N7222Z,ATL04CA160,2004-07-20,"FOLEY, AL",United States,30.418334,-87.701389,Non-Fatal,Substantial,Airplane,Piper,PA 25,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Maneuvering,0.0,2004,7
N93DM,LAX04CA278,2004-07-24,"Gridley, CA",United States,39.383333,-121.666667,Non-Fatal,Destroyed,Airplane,Cessna,A185F,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0,2004,7
N8173J,CHI04CA250,2004-09-02,"CRIVITZ, WI",United States,45.214444,-88.072778,Non-Fatal,Substantial,Airplane,Piper,PA-32-301,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,0.0,2004,9
N29650,ATL04CA193,2004-09-25,"ANDERSON, SC",United States,34.586666,-82.673056,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Cruise,0.0,2004,9
N757RD,SEA04CA194,2004-09-27,"FRIDAY HARBOR, WA",United States,48.595833,-122.993055,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Landing,0.0,2004,9
N555MN,CHI05CA007,2004-10-16,"PORT AUSTIN, MI",United States,44.047777,-82.914167,Non-Fatal,Substantial,Airplane,Cirrus Design Corp.,SR22,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,0.0,2004,10
N558B,CHI05CA010,2004-10-19,"CHESTERFIELD, MO",United States,38.662222,-90.651944,Non-Fatal,Substantial,Airplane,Beech,B-55,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,IMC,Landing,0.0,2004,10
